category,main class,item name,price range,price_min,price_max,monthly sales,item url,item picture
美妝保健,開架流行清潔保養,【明洞妞】?全館699免運?韓國Wonjin Effect 原辰保濕面膜 30g 保濕面膜 吊瓶面膜 植物細胞,$25 ,25.00 ,25.00 ,13883,https://shopee.tw/【明洞妞】?全館699免運?韓國Wonjin-Effect-原辰保濕面膜-30g-保濕面膜-吊瓶面膜-植物細胞-i.1944366.1229420785,https://cf.shopee.tw/file/0113811cd229ae8abefafc3a30f25b88
美妝保健,開架流行清潔保養,[現貨] 玩美日記面膜水絲布面膜(1片入/25ml) 多款供選 24H出貨 台灣現貨 【小麥購物】【S004】面膜,$8 ,8.00 ,8.00 ,12052,https://shopee.tw/-現貨-玩美日記面膜水絲布面膜(1片入-25ml)-多款供選-24H出貨-台灣現貨-【小麥購物】【S004】面膜-i.9687994.1211636185,https://cf.shopee.tw/file/1beafca3faef69b9d42f71773fb80bcf
美妝保健,開架流行清潔保養,OK萊爾富可寄★美保★Mi★極潤保濕美肌天絲面膜~EGF馬油.玻尿酸.雪肌妍.金箔 超導黃金.白金.黑面膜,$10 - $15,10.00 ,15.00 ,13498,https://shopee.tw/OK萊爾富可寄★美保★Mi★極潤保濕美肌天絲面膜~EGF馬油.玻尿酸.雪肌妍.金箔-超導黃金.白金.黑面膜-i.1562673.3245799,https://cf.shopee.tw/file/57b1854c7de538cb17ce8d9573422da1
美妝保健,開架流行清潔保養,【梨大小姐】新款上架 原辰透明質酸安瓶補水面膜 綠吊瓶面膜 炸彈三部曲 植物細胞 面膜 WONJIN EFFECT,$25 - $45,25.00 ,45.00 ,4795,https://shopee.tw/【梨大小姐】新款上架-原辰透明質酸安瓶補水面膜-綠吊瓶面膜-炸彈三部曲-植物細胞-面膜-WONJIN-EFFECT-i.32084592.1239762311,https://cf.shopee.tw/file/82576983fa7946d79ff6c7c1cfdf0787
美妝保健,開架流行清潔保養,霓淨思面膜 Neogence 霓淨思面膜N3 神經醯胺熊果素膠原蛋白杏仁酸多胜肽冰河醣蛋白角鯊烷 單片任選,$8 - $14,8.00 ,14.00 ,6635,https://shopee.tw/霓淨思面膜-Neogence-霓淨思面膜N3-神經醯胺熊果素膠原蛋白杏仁酸多胜肽冰河醣蛋白角鯊烷-單片任選-i.26416265.874323592,https://cf.shopee.tw/file/c29221724bcbd5bbbdac6058db946258
美妝保健,開架流行清潔保養,【DDT】 JM solution 水光蜂蜜面膜 蠶絲面膜 珍珠 補水保濕 jm面膜 JMsolution H101,$25 ,25.00 ,25.00 ,3515,https://shopee.tw/【DDT】-JM-solution-水光蜂蜜面膜-蠶絲面膜-珍珠-補水保濕-jm面膜-JMsolution-H101-i.16584973.1275347078,https://cf.shopee.tw/file/1f09b045e8fee342f593138d1b6d0b0c
美妝保健,開架流行清潔保養,【DDT正品選我】 原辰面膜 綠吊瓶面膜 安瓶補水面膜 補水面膜 Wonjin Effect 現貨 保濕 藍色安瓶 J1,$25 ,25.00 ,25.00 ,2771,https://shopee.tw/【DDT正品選我】-原辰面膜-綠吊瓶面膜-安瓶補水面膜-補水面膜-Wonjin-Effect-現貨-保濕-藍色安瓶-J1-i.16584973.1596359888,https://cf.shopee.tw/file/9b32fc8c03cb06af3bfda6a29156f8fb
美妝保健,開架流行清潔保養,?黑面膜下單一特價? 提提研 TT面膜 黑面膜 備長炭 奢華保濕金箔 浸潤補水保濕 激光注白 痘痘 瞬白酷涼,$30 - $35,30.00 ,35.00 ,3368,https://shopee.tw/?黑面膜下單一特價?-提提研-TT面膜-黑面膜-備長炭-奢華保濕金箔-浸潤補水保濕-激光注白-痘痘-瞬白酷涼-i.5354709.225259378,https://cf.shopee.tw/file/54c391ec6f21cb96715f8579a10aae42
美妝保健,開架流行清潔保養,RANESS 草本淨痘膏?現貨供應免運,$570 ,570.00 ,570.00 ,2473,https://shopee.tw/RANESS-草本淨痘膏?現貨供應免運-i.4091791.1272346883,https://cf.shopee.tw/file/265e15536e6ea4eaef67a2d7b064e7cb
美妝保健,開架流行清潔保養,【明洞妞】韓國Be Balance 小綠人肌膚調理修復ALA超纖維紙面膜 保濕面膜 協助抗痘 面膜 修復面膜 面霜,$84 - $949,84.00 ,949.00 ,2573,https://shopee.tw/【明洞妞】韓國Be-Balance-小綠人肌膚調理修復ALA超纖維紙面膜-保濕面膜-協助抗痘-面膜-修復面膜-面霜-i.1944366.1829403908,https://cf.shopee.tw/file/df24248395de4a74ead1ddb05a49676e
